t_s,ch1_div,ch2_div
1.51593,4.8039,0.9774
1.52308,4.7728,0.9927
1.53024,3.9645,0.9962
1.53739,4.8124,1.0043
1.54455,4.8562,0.9972
1.55170,4.8571,0.9990
1.55885,4.9028,1.0022
1.56601,4.9265,0.9976
1.57316,4.9411,1.0025
1.58032,4.9438,1.0030
1.58747,4.9524,1.0023
1.59463,4.9671,1.0057
1.60178,4.9793,1.0138
1.60893,5.0239,1.0148
1.61609,5.0148,1.0201
1.62324,5.0599,1.0187
1.63040,5.1074,1.0172
1.63755,5.0901,1.0187
1.64470,5.1159,1.0207
1.65186,5.1517,1.0218
1.65901,5.1586,1.0767
1.66617,5.1822,1.2216
1.67332,5.1710,1.4641
1.68047,5.1971,1.8895
1.68763,5.1997,2.7565
1.69478,5.2099,4.1705
1.70194,5.2413,4.9538
1.70909,5.2828,1.0128
1.71625,5.2879,1.0089
1.72340,5.2867,1.0048
1.73055,5.2887,1.0039
1.73771,5.3245,1.0030
1.74486,5.3359,1.0128
1.75202,5.3669,0.9966
1.75917,5.3970,1.0158
1.76632,5.3695,0.9972
1.77348,5.4065,1.0010
1.78063,5.4577,0.9945
1.78779,5.5031,0.9951
1.79494,5.5034,0.9931
1.80210,5.5133,0.9880
1.80925,5.5441,0.9911
1.81640,5.5408,0.9890
1.82356,5.5574,0.9993
1.83071,5.5894,0.9894
1.83787,5.6177,0.9916
1.84502,5.6296,0.9754
1.85217,5.6572,0.9685
1.85933,5.6611,0.9656
1.86648,5.6374,0.9666
1.87364,5.7064,0.9714
1.88079,5.7002,0.9644
1.88795,5.6960,0.9605
1.89510,5.7340,0.9563
1.90225,5.7240,0.9557
1.90941,5.7222,0.9547
1.91656,5.7314,0.9557
1.92372,5.7640,0.9634
1.93087,5.7852,0.9557
1.93802,5.8496,0.9660
1.94518,5.8616,0.9557
1.95233,5.8936,0.9514
1.95949,5.8995,0.9562
1.96664,5.9370,0.9537
1.97380,5.9310,0.9543
1.98095,5.9614,0.9497
1.98810,5.9803,0.9494
1.99526,6.0079,0.9400
2.00241,6.0166,0.9320
2.00957,6.0168,0.9301
2.01672,6.0059,0.9340
2.02387,6.0335,0.9359
2.03103,6.0493,0.9360
2.03818,6.0887,0.9340
2.04534,6.0887,0.9326
2.05249,6.1320,0.9280
2.05964,6.1375,0.9222
2.06680,6.1695,0.9281
2.07395,6.1657,0.9352
2.08111,6.2108,0.9320
2.08826,6.2069,0.9320
2.09542,6.2321,0.9261
2.10257,6.2404,0.9189
2.10972,6.2511,0.9184
2.11688,6.2877,0.9259
2.12403,6.3143,0.9163
2.13119,6.3283,0.9251
2.13834,6.3232,0.9163
2.14549,6.3626,0.9269
2.15265,6.3606,0.9163
2.15980,6.3745,0.9207
2.16696,6.4106,0.9182
2.17411,6.4510,0.9163
2.18127,6.4546,0.9143
2.18842,6.4847,0.9123
2.19557,6.4915,0.9103
2.20273,6.5253,0.9143
2.20988,6.5290,0.9047
2.21704,6.5457,0.9192
2.22419,6.5596,0.9310
2.23134,6.5636,0.9163
2.23850,6.5970,0.9272
2.24565,6.5970,0.9182
2.25281,6.5982,0.9163
2.25996,6.6463,0.9206
2.26712,6.6534,0.9281
2.27427,6.6730,0.9306
2.28142,6.6726,0.9241
2.28858,6.7156,0.9241
2.29573,6.7209,0.9182
2.30289,6.7423,0.9237
2.31004,6.7606,0.9236
2.31719,6.7611,0.9283
2.32435,6.8020,0.9294
2.33150,6.8079,0.9246
2.33866,6.8394,0.9391
2.34581,6.8473,0.9399
2.35296,6.8690,0.9622
2.36012,6.8636,0.9301
2.36727,6.8854,0.9272
2.37443,6.9088,0.9281
2.38158,6.9517,0.9280
2.38874,6.9533,0.9354
2.39589,6.9871,0.9419
2.40304,6.9901,0.9429
2.41020,7.0109,0.9379
2.41735,7.0325,0.9492
2.42451,7.0443,0.9419
2.43166,7.0764,0.9422
2.43881,7.0798,0.9381
2.44597,7.1097,0.9355
2.45312,7.1113,0.9309
2.46028,7.1429,0.9366
2.46743,7.1468,0.9335
2.47459,7.1525,0.9438
2.48174,7.1835,0.9427
2.48889,7.1760,0.9438
2.49605,7.2004,0.9438
2.50320,7.2182,0.9473
2.51036,7.2276,0.9575
2.51751,7.2595,1.1358
2.52466,7.2650,1.7537
