quantity,key,value,unit,status
wide_dchi2,1|13,773.735,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,1|14,979.650,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,1|15,1219.947,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,1|16,1498.112,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,1|17,1817.903,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,1|18,2183.376,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,1|19,2598.914,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,1|20,3069.274,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|0,40.760,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|1,19.582,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|2,5.611,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|3,0.000,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|4,4.032,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|5,19.130,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|6,46.857,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|7,88.932,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|8,147.229,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|9,223.793,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|10,320.845,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|11,440.791,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|12,586.238,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|13,760.000,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|14,965.116,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|15,1204.863,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|16,1482.773,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|17,1802.660,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|18,2168.637,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|19,2585.158,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,2|20,3057.054,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|0,48.257,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|1,25.539,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|2,9.861,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|3,2.405,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|4,4.481,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|5,17.541,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|6,43.180,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|7,83.149,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|8,139.358,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|9,213.888,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|10,308.998,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|11,427.139,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|12,570.962,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|13,743.330,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|14,947.337,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|15,1186.318,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|16,1463.870,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|17,1783.879,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|18,2150.539,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|19,2568.393,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,3|20,3042.347,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|0,62.106,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|1,37.223,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|2,19.186,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|3,9.209,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|4,8.640,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|5,18.966,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|6,41.821,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|7,78.996,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|8,132.445,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|9,204.295,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|10,296.857,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|11,412.633,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|12,554.331,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|13,724.879,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|14,927.438,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|15,1165.417,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|16,1442.499,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|17,1762.453,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|18,2130.039,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|19,2549.635,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,4|20,3026.339,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|0,84.648,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|1,56.810,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|2,35.603,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|3,22.281,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|4,18.232,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|5,24.988,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|6,44.231,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|7,77.800,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|8,127.703,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|9,196.122,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|10,285.429,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|11,398.192,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|12,537.191,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|13,705.429,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|14,906.307,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|15,1142.913,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|16,1419.434,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|17,1739.833,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|18,2108.409,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|19,2530.150,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,5|20,3010.283,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,6|0,118.974,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
