T,ratio,measured,err_stat,syst_between_block,err_total,predicted,pull_sigma,pull_stat_only,status
70,4207/4121,1.0934755359884671,0.028118105387685673,0.740391829012894,0.7409255619288968,1.6666666666666667,-0.7736150028161751,-20.385126336756272,NULL
70,4192/4154,1.659009361766747,0.10866842588096996,0.23971480175071502,0.2631957692703902,1.4,0.9840939407375416,2.3834831476297738,NULL
90,4207/4121,0.9766460343789641,0.049547858390805555,0.740391829012894,0.7420478763126904,1.6666666666666667,-0.9298869443794969,-13.926346257898961,NULL
90,4192/4154,1.3604088836647426,0.03176520357268747,0.23971480175071502,0.24181028583664277,1.4,-0.16372800767459295,-1.2463674676178937,NULL
110,4207/4121,2.53268184351295,0.021179085185753913,0.740391829012894,0.7406946834684072,1.6666666666666667,1.1691931860386051,40.89011254503132,NULL
110,4192/4154,1.9393193106304982,0.02060350463205443,0.23971480175071502,0.24059860885197923,1.4,2.2415728553206127,26.17609577894037,NULL
130,4207/4121,1.9701113937220291,0.016900860910979077,0.740391829012894,0.7405847011440291,1.6666666666666667,0.40973669397519513,17.954394669814704,NULL
130,4192/4154,1.5732033802148846,0.011965105150928055,0.23971480175071502,0.24001322863470959,1.4,0.7216409745418375,14.47570899127873,NULL
70,4192/4207,2.7454268557547157,0.07154336874205591,0.5502498123223599,0.5548813472912513,2.420361719966463,0.5858281907927054,4.54360958260506,NULL
90,4192/4207,3.482058469276992,0.18383523163015691,0.5502498123223599,0.5801467472539218,2.420361719966463,1.8300486115555854,5.7752626626351455,NULL
110,4192/4207,2.802909926761557,0.024486753859071717,0.5502498123223599,0.5507943872947029,2.420361719966463,0.6945390432789781,15.622659050553143,NULL
130,4192/4207,2.1363658212618635,0.014094833836978557,0.5502498123223599,0.5504303046723394,2.420361719966463,-0.5159525125958625,-20.14893555960348,NULL
