peak,T,N_units,amp,amp_err,A_over_N_norm70,status
4121,70,0.7397053191092376,0.02042202,0.00047523115799557843,1.0,MEASURED
4121,90,3.1106715887111136,0.11769771857142856,0.0008894672754121649,1.370483863983416,MEASURED
4121,110,11.22735893932777,0.2602123038095238,0.0008909206664739896,0.8394798282044756,MEASURED
4121,130,35.585175295138924,0.9934552542857142,0.004355910972653466,1.0112050876482208,MEASURED
4154,70,0.7397053191092376,0.039104225595238094,0.0024365340751744814,1.0,MEASURED
4154,90,3.1106715887111136,0.2875997204761905,0.005748600012359108,1.7489176029388174,MEASURED
4154,110,11.22735893932777,0.9549394438095238,0.008063575508351994,1.608915653016299,MEASURED
4154,130,35.585175295138924,2.6661956204761905,0.017573501654134512,1.417287487972366,MEASURED
4192,70,0.7397053191092376,0.06113639047619046,0.001475131972427822,1.0,MEASURED
4192,90,3.1106715887111136,0.3868735261904762,0.009538870913243899,1.504782724836802,MEASURED
4192,110,11.22735893932777,1.8278328885714283,0.004262038990869603,1.9697804718892409,MEASURED
4192,130,35.585175295138924,4.203380068095238,0.02225337755611559,1.4291851614362705,MEASURED
4207,70,0.7397053191092376,0.022292428571428567,0.00042268474732111314,1.0,MEASURED
4207,90,3.1106715887111136,0.11944006857142857,0.006164714138760389,1.2740815870297757,MEASURED
4207,110,11.22735893932777,0.6446489438095238,0.0024353718683524446,1.9052283097446028,MEASURED
4207,130,35.585175295138924,1.9269238814285714,0.006509200058956014,1.7967878722501545,MEASURED
