quantity,key,value,unit,status
excess_var_frac,S_rho0.94_transit,0.0630,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,S_rho0.94_transit,0.0201,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,S_rho0.94_transit,0.0310,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,S_rho0.94_tau6s,-0.1492,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,S_rho0.94_tau6s,0.0028,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,S_rho0.94_tau6s,-0.1628,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,S_rho0.94_tau6s,0.0662,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,S_rho0.94_tau6s,0.0222,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,S_rho0.94_tau6s,0.0443,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,S_rho0.75_transit,-0.1527,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,S_rho0.75_transit,0.0030,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,S_rho0.75_transit,-0.1362,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,S_rho0.75_transit,0.0618,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,S_rho0.75_transit,0.0201,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,S_rho0.75_transit,0.0310,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,S_rho0.75_tau6s,-0.1466,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,S_rho0.75_tau6s,0.0028,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,S_rho0.75_tau6s,-0.1596,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,S_rho0.75_tau6s,0.0650,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,S_rho0.75_tau6s,0.0222,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,S_rho0.75_tau6s,0.0443,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
