session,peak,a_rate_laser,b_per_hour,t0_epoch,var_a,cov_ab,var_b,scatter_pct,n_traces,t_min_epoch,t_max_epoch,status
P,4121,0.042513445973739745,-0.0004106007090425955,1752781244.1818182,2.125841973545301e-09,2.8860014081500267e-19,1.5978290151230413e-08,0.3596959292272111,11,1752779746.0,1752782498.0,MEASURED
P,4154,0.0422513344347696,1.1219784021093475e-05,1752777449.3333333,9.3193788499182e-10,-3.7977966305143143e-19,1.7203433257521853e-08,0.2502901027367411,12,1752776704.0,1752778470.0,MEASURED
P,4192,0.0424468401536,-0.0003000736408098375,1752764217.4545455,9.515801597698672e-10,1.3931682689419696e-19,1.1569860234556528e-08,0.24103142368784924,11,1752763178.0,1752765388.0,MEASURED
P,4207,0.0429137495582643,0.0008346829156177395,1752767095.0,2.205310473869392e-09,4.997068253137643e-25,2.2504794722775625e-08,0.3460496447148035,10,1752765914.0,1752768250.0,MEASURED
T,4121,0.04244484052767841,8.627778171880606e-08,1752815413.6,8.722091065012751e-09,-7.257769568335489e-21,2.7397035773375036e-10,0.852179400049991,15,1752786876.0,1752832766.0,MEASURED
T,4154,0.04272780238504378,1.8685544274919566e-05,1752817225.4666667,6.113211935911229e-09,1.730837990588173e-21,1.960119022694527e-10,0.7087120212238125,15,1752788944.0,1752834106.0,MEASURED
T,4192,0.042687181316952434,1.1336127455882111e-05,1752817493.0,3.848693329162012e-09,2.3580119735465268e-26,1.2389465486299193e-10,0.5437799526977912,14,1752790770.0,1752835870.0,MEASURED
T,4207,0.0428068981764216,1.2151668297483121e-05,1752820529.75,3.88958332682721e-09,4.3539484624035233e-26,1.30722937819139e-10,0.582770784568709,16,1752791796.0,1752837994.0,MEASURED
