file,session,peak,T,bracket,repeat_idx,delta_ms,delta_err_ms,rate_MHzms,width_ms,chi2_red,init_fallback,acf_score,h_m3,h_m2,h_m1,h_0,h_p1,h_p2,h_p3,fit_rms,resid_norm,n_fitted,t0_ms,top3_ok,top3_marginal,rank_m1,rank_p1,n_railed,verdict,top3_gated,reindex_action,reindex_j,excised_k,n_refits,delta_advised_ms,excluded_advised,excluded,excluded_reason,trimmed,trim_start_ms,trim_end_ms,trim_reason,outlier,outlier_reason,status
rulers_p/4121nm_eom_after1.csv,P,4121,130,after,1,147.29565635714025,0.7212625064519655,0.042431665363206264,57.47775405166456,0.7308695792775676,False,0.43155754129566254,0.030259042119452365,0.13503445316734233,0.0849282723060417,0.136505621715457,0.028198396767169984,0.0032408265413049835,0.004363020025655879,0.00618626004944387,0.8523405198639228,2000,79.95410248412725,False,False,3,5,0,FAIL,False,phase_shift,-1,,4,147.19880936379639,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4121nm_eom_after2.csv,P,4121,130,after,2,147.76497605671454,0.7918229245815845,0.04229689718625306,57.48758125466745,0.7931585484974772,False,0.4034922982944795,0.01105157838965526,0.0022497723259997235,0.022594534165908214,0.11692030773738936,0.07238831636255422,0.11457702392119627,0.023582817073435586,0.0059207916974975,0.8879186883980381,2000,121.49500448718273,False,False,5,3,0,FAIL,False,none,0,,5,147.76497605671454,True,False,top_three_unrecoverable,False,nan,nan,,0,,CALIB
rulers_p/4121nm_eom_after3.csv,P,4121,130,after,3,148.6726689820664,0.872612915435506,0.04203866146207347,71.24856079727759,1.2045871558919226,False,0.4457756282245017,0.01090402819496655,1.0799432511470892e-30,0.022257773191517248,0.10782085198042601,0.07783401360662287,0.11993087055030578,0.04509401375151721,0.007174870990116148,1.0942392941932633,2000,209.73037719418718,False,False,5,3,1,FAIL,False,phase_shift,1,,4,146.45084881725936,False,False,,False,nan,nan,"refused, trim would reach into the guarded half",0,,CALIB
rulers_p/4121nm_eom_after4.csv,P,4121,130,after,4,147.2024982676284,0.83400569429715,0.0424585185275653,56.73433988066071,0.7676767605569016,False,0.3728206764885463,0.011898595279963047,0.001774918394004307,0.023721481941674307,0.11180021256076986,0.06650191785576633,0.1150750464781272,0.019848306524821873,0.005902436942994448,0.8735391805715186,2000,98.88474363350224,False,False,4,3,0,FAIL,False,none,0,,5,147.2024982676284,True,False,top_three_unrecoverable,False,nan,nan,,0,,CALIB
rulers_p/4121nm_eom_after5.csv,P,4121,130,after,5,146.84518602574312,0.8023726835992151,0.04256183106271067,56.37626332975451,0.7442844605447824,False,0.4079264630558508,0.0033260426367535682,0.024212760000834842,0.12555817438926326,0.07963856049205884,0.1112405648155816,0.021695417083214767,0.002543476741164817,0.0058056314809096805,0.8601271730282178,2000,220.29913192533607,True,False,1,2,0,PASS,False,none,0,,0,146.84518602574312,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4121nm_eom_after6.csv,P,4121,130,after,6,147.13568532878173,0.8437305602344474,0.04247779854380041,55.128743540594165,0.7480892640962309,False,0.43231730995192375,4.81390679884609e-21,0.019405528955627593,0.11795330900992211,0.07969151103087446,0.10339647616454133,0.020196732663539205,0.003562602721524462,0.00569042488951027,0.8623228679048547,2000,230.08057995123656,True,False,1,2,1,PASS,False,none,0,,0,147.13568532878173,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4121nm_eom_before1.csv,P,4121,130,before,1,146.2066263250488,0.4355723684111307,0.04274772051784373,57.149888121111,0.788232580157049,False,0.30399754971203496,0.00381760726093318,0.0023652126335136987,0.020724430770398157,0.10120570658164596,0.04660975064095428,0.10951905852299232,0.025944968965960373,0.0054326535435718255,0.8851558161111669,1999,537.230449589741,False,False,5,3,0,FAIL,False,phase_shift,1,,4,146.23666138821437,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4121nm_eom_before2.csv,P,4121,130,before,2,146.0904383491141,0.4283435496709459,0.042781718438439476,55.97492392358492,0.824453593679688,False,0.5136266288254125,0.0007630584882544859,0.023436138579498493,0.12211557517916208,0.11072588629445601,0.11468496639687083,0.021596313139802144,0.002666458978125967,0.006240423112645533,0.9052607131914796,1996,639.1272759466023,True,False,1,2,0,PASS,False,none,0,,0,146.0904383491141,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4121nm_eom_before3.csv,P,4121,130,before,3,146.36504551045135,0.44202040392359665,0.04270145223678909,55.873433461133814,0.7588613494250088,False,0.4828882459946966,0.002187243080899393,0.020648099995119594,0.11451120063612587,0.09251405882507774,0.1039864125387677,0.020306993240211794,0.002922239335502892,0.005547950043303137,0.868507860416674,1999,630.0411745660098,True,False,1,2,0,PASS,False,none,0,,0,146.36504551045135,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4121nm_eom_before4.csv,P,4121,130,before,4,146.89395232636727,0.4645592817749437,0.04254770125671221,56.653192935385164,0.7556725233827579,False,0.22713866114144296,0.0016256352743618167,0.02087235140676336,0.09220345497360652,0.0371730024823719,0.09201648389439702,0.021285041782502026,0.0032948123778196257,0.0051549065800496775,0.866681152495435,1999,616.7354585661757,True,False,1,2,0,PASS,False,none,0,,0,146.89395232636727,False,False,,False,nan,nan,,0,,CALIB
