pos_ms,rate_rel,rate_rel_err,n,status
-537.3608284973005,0.9824871072227743,0.003960845842114671,4,CALIB
-412.13770625314044,1.0072432804016445,0.0018221664192896532,6,CALIB
-286.91458400898034,0.9980600820011555,0.001751353367312918,10,CALIB
-161.6914617648203,0.9996738207393342,0.0026502982919015847,35,CALIB
-36.46833952066024,0.9975612989776927,0.0017295577496807273,69,CALIB
88.75478272349983,1.0003052586863577,0.0016189895373422193,64,CALIB
213.97790496765992,0.9997270082521064,0.0016320822009539312,80,CALIB
339.20102721182,0.9999898198008448,0.00213004580317703,56,CALIB
464.42414945598006,0.9989445449213455,0.002301168491702851,38,CALIB
589.6472717001401,1.002485888493879,0.0022261980958389713,20,CALIB
714.8703939443002,1.0027231162801489,0.002946324603358323,10,CALIB
840.0935161884603,1.0043445602537593,0.006775400267408246,6,CALIB
