role,peak,T,P,rate_t,rate_relerr,n,gamma_coll,gamma_coll_err,sigma_laser,sigma_laser_err,total_fwhm,total_fwhm_err,corr,chi2_red,core_whitened_variance,wing_whitened_variance,common_fraction_core,common_fraction_wing,tau_fullfit,tau_fullfit_core,tau_carried,noise_floor_limited,gamma_coll_at_bound,sigma_laser_at_bound,status
p_sweep,4121,130,125,0.0850639586043396,0.0048537052760845275,5,0.5875661175463156,0.04179068800212021,1.7382247990938642,0.09403992337902911,5.485148770732484,0.037081788246414636,-0.8952623785622782,0.9224825810912255,0.8764780730873208,0.8783536868641036,-0.009950944983400222,0.014302907393402233,0.9960728208871041,1.1796625020681462,1.0455,False,False,False,PRELIM
p_sweep,4121,130,175,0.0850639586043396,0.0048537052760845275,5,0.5868895309758116,0.03310438543787012,1.6390024577526188,0.07845302752680863,5.430479532089944,0.033610171111026654,-0.8936425269014957,0.8693655961862369,0.8449298702378678,0.7886308831315247,0.031960100336060046,-0.008129977484927697,1.103775841087908,1.2640448034723504,1.0741,False,False,False,PRELIM
p_sweep,4121,130,225,0.0850639586043396,0.0048537052760845275,5,0.5847981935393367,0.02544674829839281,1.5333862356710832,0.06281020848409243,5.374408716092872,0.030340409628955966,-0.8963904927152155,0.9031091880691409,0.8822024589121835,0.8717575425764676,0.021065848551438934,-0.01230877119229828,0.8745971683078391,0.7565504059288497,1.027,False,False,False,PRELIM
p_sweep,4121,130,25,0.0850639586043396,0.0048537052760845275,5,0.9282647040436551,0.3620305075306141,1.014910793735368,1.205375781761716,5.44929394794395,0.17876431135708112,-0.9173314656607712,0.9544023519390871,0.5329057531691538,0.5473637639176273,-0.013108593167942738,-0.011312435297712198,1.0612775408343633,0.866778893035145,1.7484,False,False,False,PRELIM
p_sweep,4121,130,75,0.0850639586043396,0.0048537052760845275,5,0.5750233410209595,0.08124023166146782,1.9584909252740474,0.1638726848229188,5.601091961951767,0.054994510572607604,-0.8998498506413861,0.8681880646316947,0.6421257028187314,0.6741742436723337,0.014640246785611105,-0.0009224248225105595,1.038397582608054,1.006090972100246,1.2994,False,False,False,PRELIM
p_sweep,4154,130,125,0.08449079309255486,0.0032165444038416437,5,0.5452942218358066,0.030004814651700504,1.9085386339491222,0.062434426628209826,5.5472199319190425,0.025372687005852938,-0.896529350171863,0.881442096141539,0.785896623082859,0.8046650867251212,0.009419331246378245,0.006207440828002251,1.0180787300203946,1.334942444262871,1.0972,False,False,False,PRELIM
p_sweep,4154,130,175,0.08449079309255486,0.0032165444038416437,5,0.5546552310452949,0.021419255459741268,1.7583068056680307,0.0461112273899232,5.468798381215583,0.02142938983694168,-0.9034964344049737,0.9879166072268171,0.9812979595951751,0.8757421726616686,0.014554185215326525,0.011903481736950218,1.1824751483925058,1.1523863159167937,1.0849,False,False,False,PRELIM
p_sweep,4154,130,225,0.08449079309255486,0.0032165444038416437,5,0.580778450748753,0.016508181809674227,1.5606937447362783,0.03852460859981464,5.384848770801524,0.019556001496643032,-0.9061745098584311,1.0307741131091845,1.2170368022398246,0.9481227130183533,0.043557202291063656,0.042397927484581245,1.7125697716114083,1.785071521560945,1.0,False,False,False,PRELIM
p_sweep,4154,130,25,0.08449079309255486,0.0032165444038416437,5,0.3863513100748276,0.23854293204837068,2.4127862435627545,0.3783118508298494,5.740849451866444,0.11540331329969229,-0.9174280836152654,0.8398852105271359,0.6233838211973307,0.7024417894616874,-0.0037274700427697336,0.0024337298425903377,1.0012264600121097,1.0258297184182996,1.2299,False,False,False,PRELIM
p_sweep,4154,130,75,0.08449079309255486,0.0032165444038416437,5,0.5008084866033556,0.05367127279779589,1.7556527057842342,0.1180817961517485,5.4222118809946735,0.037154782958473076,-0.89603546009768,0.8763177294602942,0.7828795569606988,0.7317753530852911,0.006369728947792073,-0.016731666202044686,1.1220740753926715,1.0014588062959173,1.1682,False,False,False,PRELIM
p_sweep,4192,130,125,0.08489166677587104,0.0036521468185299584,5,0.49334293556432157,0.02496187432453085,1.9319983030652088,0.05084230546730142,5.518596280149769,0.024940916425164446,-0.8990424214480942,0.8456237437928197,0.8158611024722623,0.7346190230437292,0.06388253962334974,0.0046347860578805815,1.1575833129642334,0.9488472241154589,1.1105,False,False,False,PRELIM
p_sweep,4192,130,175,0.08489166677587104,0.0036521468185299584,5,0.5663973076367055,0.017489518940919668,1.7685426056628224,0.037591483921985774,5.484357778383495,0.022331196823437396,-0.9039629296268493,0.997805565333295,1.130520814229734,0.9351267713673018,0.07323570426862855,0.022396670726836397,2.298362836821814,3.75097506647438,1.0,False,False,False,PRELIM
p_sweep,4192,130,225,0.08489166677587104,0.0036521468185299584,5,0.5969072700805687,0.013968472327819025,1.5006455289894611,0.03386233317798385,5.368287234976181,0.02109267026049285,-0.9048391918749938,1.0917682550065066,1.331802424675676,0.9855213004520887,0.06219588835190035,0.019438777551272293,2.045661138860928,5.165322521861493,1.0,False,False,False,PRELIM
p_sweep,4192,130,25,0.08489166677587104,0.0036521468185299584,5,0.7949778329027897,0.16578609709358413,1.1996778864852693,0.496867703370387,5.402128787268933,0.09616841190790483,-0.9053397449613376,0.8363584339262927,0.5949657106254698,0.6339069858135779,0.02066847847180682,0.009942829275948785,1.0438064484471614,0.9064715406259807,1.3358,False,False,False,PRELIM
p_sweep,4192,130,75,0.08489166677587104,0.0036521468185299584,5,0.6177760269449484,0.040878455026525734,1.8713807017747746,0.08700478761539644,5.585042376298739,0.03214499758586767,-0.8963366423458253,0.878846079997847,0.7771359195082903,0.7298073836905282,0.04760549588999028,-0.0020808339857127872,1.0519161298903825,0.9009786507056506,1.1764,False,False,False,PRELIM
p_sweep,4207,130,125,0.08588559598214576,0.00656132483684068,5,0.5844974624429762,0.03796072935501839,1.8385038336091457,0.07987299065459995,5.538936201706001,0.042287301758923396,-0.9018404694806416,0.7926960735923889,0.7880363911549317,0.6852842729870485,0.04654957198747008,0.016530575399050996,1.282076740218761,1.4245576573599923,1.1031,True,False,False,PRELIM
p_sweep,4207,130,175,0.08588559598214576,0.00656132483684068,5,0.5836464634029569,0.025160706645275515,1.8534628473692165,0.053685633948852535,5.5467775771391254,0.03920603398290168,-0.8996939381090048,0.9014079214005389,0.93404382837878,0.8814719676738381,-0.0019669843874570874,-0.029060421040305345,1.049362526193771,1.1908148735286836,1.0,False,False,False,PRELIM
p_sweep,4207,130,225,0.08588559598214576,0.00656132483684068,5,0.6139310245168521,0.019848953592608378,1.7334098187415743,0.043940547192741604,5.504539864977995,0.03778402075294278,-0.903334608241707,0.9906634061048181,1.0593725460580776,0.9061340641556908,0.04806407052378635,0.006138343949673164,1.3501112018812693,1.753036749908125,1.0366,False,False,False,PRELIM
p_sweep,4207,130,25,0.08588559598214576,0.00656132483684068,5,0.5547721338161907,0.26971172042106256,1.90899249139015,0.5066965428032376,5.555228338542225,0.13358508291974147,-0.9191136807008692,0.9038522757585672,0.6074229658055671,0.5750684098307389,0.02477362819629001,0.019590370672263168,1.0209365781281847,0.9372700814861756,1.5383,False,False,False,PRELIM
p_sweep,4207,130,75,0.08588559598214576,0.00656132483684068,5,0.5995764844940173,0.06754166651929443,1.8620513147267408,0.14365298594507364,5.564762587612567,0.05455571761588367,-0.8969100336622745,0.8559113936882028,0.62343743749726,0.6463696823907775,0.024114305055949935,0.011935608562812325,1.0758365967363497,1.1295854249773383,1.3307,False,False,False,PRELIM
t_sweep,4121,110,,0.08483298600561076,0.005764290115396462,5,0.448004102929628,0.05408688822075087,1.5029619518277844,0.13406849281386096,5.214508926707909,0.04555644364791354,-0.8930863798399548,0.8132372922285244,0.6607703339395705,0.6927775432786821,-0.025084281459195935,-0.003115625432807891,1.0524026845848544,0.70896030277638,1.1833,False,False,False,PRELIM
t_sweep,4121,70,,0.08556749822758217,0.015214700279418947,5,0.7843270261374746,0.18188623279650634,0.44902320412305907,1.051139472828792,5.078757234413334,0.14767299645528972,-0.7313454758863831,0.7827188692557694,0.45881002797411496,0.5273542157279968,-0.017844988628033964,0.016736950844869158,0.8689818605915114,1.1580910901661754,1.5343,True,False,False,PRELIM
t_sweep,4121,90,,0.08410782047988752,0.005285260676177999,5,0.33262274576703266,0.0769453541338291,1.738159430517492,0.16157092286122543,5.216491974893895,0.052657977124624,-0.9010338332151225,0.8258619456525526,0.7655625226619392,0.7283273448391988,0.019743442007905763,0.008163127178902512,0.9839818511454838,0.7254622216365931,1.1112,False,False,False,PRELIM
t_sweep,4154,110,,0.0850910058456188,0.003475002501496382,5,0.41647113073854863,0.02694996420072969,1.5166263919113867,0.06506850473487796,5.194870102618644,0.02445505390753955,-0.897035649822508,0.7837003579974539,0.7696328071354955,0.7833003344499307,0.020060891517282662,0.00030279070497443207,1.289444530408315,1.1814385947160733,1.0,True,False,False,PRELIM
t_sweep,4154,70,,0.08549019373996224,0.015091381151486383,4,0.18132318327330385,0.1876455604150637,1.2724941493792923,0.4755815378007271,4.81410584533281,0.12699072116803284,-0.906687235802178,0.8238489123364829,0.5898697757795208,0.6507667733700021,0.0212209115302854,0.01326393357635194,0.8120738561207044,0.7260509864167799,1.2929,False,False,False,PRELIM
t_sweep,4154,90,,0.08546534636170564,0.005005182802383097,5,0.3732084996264105,0.044948388350533254,1.7764148579247296,0.09535968051453679,5.271933260395129,0.03780668490956451,-0.8965742875088637,0.8657736287604996,0.8937589060225444,0.8298408920220005,-0.009425353283364296,-0.018720405437217452,0.9355457843510095,0.9638376985001218,1.0155,False,False,False,PRELIM
t_sweep,4192,110,,0.0851742390341758,0.003941522592470442,5,0.4674167867746607,0.02136302618148413,1.6005644479313288,0.048399247852028954,5.281282451307593,0.02399909956025197,-0.9043489717265836,0.922416863430585,0.9739035234196096,0.8948973993351877,0.019972008740140032,0.04510781364583339,1.2029040963258608,1.564562488795624,1.0,False,False,False,PRELIM
t_sweep,4192,70,,0.08515592611149186,0.004298766827470552,5,0.30902545307478213,0.12273336753476968,1.6125629055127002,0.26571723961425275,5.096581808789626,0.07249622299693931,-0.9043170393696649,0.8469118676216971,0.6420936521966943,0.6711065061588724,-0.009220043997567809,-0.020527223821507012,0.9827552888979029,0.828733957883563,1.2709,False,False,False,PRELIM
t_sweep,4192,90,,0.0857536172500803,0.004091041240679384,5,0.42686004202520567,0.04079635588139094,1.7394172604230824,0.08893717547262539,5.294898602249277,0.033118619096863894,-0.8952766861555339,0.8302490098228011,0.7972217827290855,0.7746390671239334,0.02038138088906244,-0.010530280248728586,0.9319001800662975,0.9549828496591451,1.0574,False,False,False,PRELIM
t_sweep,4207,110,,0.08557653360994603,0.004553467441487336,5,0.4429228015313762,0.03152036968512546,1.748242812661279,0.06831002460616474,5.342279900176321,0.03082194214205454,-0.898222564855984,0.8575631752269852,0.9042960666912427,0.7908755555323441,0.01839382161884213,-0.00934130175517613,1.157916780630363,1.1786261318579787,1.0355,False,False,False,PRELIM
t_sweep,4207,70,,0.08546495293165779,0.01221356522127514,5,0.31702866956632053,0.25301442877973374,1.5818408081326896,0.5334365226190303,5.086472289398667,0.14329446684651717,-0.9136672561057989,0.9341640456657235,0.6673904980955999,0.679455283260493,-0.019393476486128783,0.017246259970663827,0.954572103718488,0.6797830587813355,1.3743,False,False,False,PRELIM
t_sweep,4207,90,,0.0859261337991302,0.005080174050017723,5,0.43120421011230864,0.08141757798392739,0.9203379345642848,0.2979219623491244,4.917528450577749,0.05616673464893308,-0.8972746255014271,0.9272345700043756,0.7182733616793655,0.6659061180565303,-0.0030473154699882715,-0.004814954890281237,1.072944554411197,0.9375914184680652,1.3544,False,False,False,PRELIM
